Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,26-May-2017,31-Aug-2017,CE,10300,0,0,0,51.4,0,71.1,0,0,0,0,0,9595.1
NIFTY,29-May-2017,31-Aug-2017,CE,10300,0,0,0,51.4,0,64.45,0,0,0,0,0,9604.9
NIFTY,30-May-2017,31-Aug-2017,CE,10300,0,0,0,51.4,0,62.65,0,0,0,0,0,9624.55
NIFTY,31-May-2017,31-Aug-2017,CE,10300,0,0,0,51.4,0,56.05,0,0,0,0,0,9621.25
NIFTY,01-Jun-2017,31-Aug-2017,CE,10300,0,0,0,51.4,0,49.65,0,0,0,0,0,9616.1
NIFTY,02-Jun-2017,31-Aug-2017,CE,10300,0,0,0,51.4,0,53.15,0,0,0,0,0,9653.5
NIFTY,05-Jun-2017,31-Aug-2017,CE,10300,0,0,0,51.4,0,50.35,0,0,0,0,0,9675.1
NIFTY,06-Jun-2017,31-Aug-2017,CE,10300,0,0,0,51.4,0,40.75,0,0,0,0,0,9637.15
NIFTY,07-Jun-2017,31-Aug-2017,CE,10300,24,24,24,24,24,24,2,15.49,0.04,150,150,9663.9
NIFTY,08-Jun-2017,31-Aug-2017,CE,10300,0,0,0,24,24,34.75,0,0,0,150,0,9647.25
NIFTY,09-Jun-2017,31-Aug-2017,CE,10300,16,16,16,16,16,16,1,7.74,0.01,225,75,9668.25
NIFTY,12-Jun-2017,31-Aug-2017,CE,10300,0,0,0,16,16,25.25,0,0,0,225,0,9616.4
NIFTY,13-Jun-2017,31-Aug-2017,CE,10300,0,0,0,16,16,21.05,0,0,0,225,0,9606.9
NIFTY,14-Jun-2017,31-Aug-2017,CE,10300,11.25,11.3,11.25,11.25,11.25,11.25,5,38.67,0.04,600,375,9618.15
NIFTY,15-Jun-2017,31-Aug-2017,CE,10300,0,0,0,11.25,11.25,14.65,0,0,0,600,0,9578.05
NIFTY,16-Jun-2017,31-Aug-2017,CE,10300,11.1,11.1,10.15,10.3,10.3,10.3,3,23.2,0.02,450,-150,9617.8
NIFTY,19-Jun-2017,31-Aug-2017,CE,10300,9.8,11.8,9.8,11.5,11.5,11.5,8,61.86,0.06,975,525,9657.55
