Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,26-May-2017,31-Aug-2017,CE,10500,0,0,0,27.9,0,40.65,0,0,0,0,0,9595.1
NIFTY,29-May-2017,31-Aug-2017,CE,10500,0,0,0,27.9,0,35.6,0,0,0,0,0,9604.9
NIFTY,30-May-2017,31-Aug-2017,CE,10500,0,0,0,27.9,0,33.85,0,0,0,0,0,9624.55
NIFTY,31-May-2017,31-Aug-2017,CE,10500,0,0,0,27.9,0,29.25,0,0,0,0,0,9621.25
NIFTY,01-Jun-2017,31-Aug-2017,CE,10500,0,0,0,27.9,0,24.95,0,0,0,0,0,9616.1
NIFTY,02-Jun-2017,31-Aug-2017,CE,10500,0,0,0,27.9,0,26.65,0,0,0,0,0,9653.5
NIFTY,05-Jun-2017,31-Aug-2017,CE,10500,0,0,0,27.9,0,24.35,0,0,0,0,0,9675.1
NIFTY,06-Jun-2017,31-Aug-2017,CE,10500,0,0,0,27.9,0,18.85,0,0,0,0,0,9637.15
NIFTY,07-Jun-2017,31-Aug-2017,CE,10500,0,0,0,27.9,0,18.85,0,0,0,0,0,9663.9
NIFTY,08-Jun-2017,31-Aug-2017,CE,10500,2.65,6.5,2.55,6.05,6.05,6.05,51,401.78,0.15,2175,2175,9647.25
NIFTY,09-Jun-2017,31-Aug-2017,CE,10500,6.1,6.75,6.1,6.7,6.7,6.7,9,70.92,0.04,2325,150,9668.25
NIFTY,12-Jun-2017,31-Aug-2017,CE,10500,6.7,9.45,6.1,8.6,9.45,8.6,8,63.05,0.05,2325,0,9616.4
NIFTY,13-Jun-2017,31-Aug-2017,CE,10500,9.45,10.45,9.4,9.95,9.95,9.95,7,55.18,0.05,2325,0,9606.9
NIFTY,14-Jun-2017,31-Aug-2017,CE,10500,7.1,7.1,7.1,7.1,7.1,7.1,1,7.88,0.01,2250,-75,9618.15
NIFTY,15-Jun-2017,31-Aug-2017,CE,10500,6,8.4,6,7,7,7,3,23.64,0.02,2250,0,9578.05
NIFTY,16-Jun-2017,31-Aug-2017,CE,10500,8,8.5,8,8.5,8.5,8.5,2,15.76,0.01,2400,150,9617.8
NIFTY,19-Jun-2017,31-Aug-2017,CE,10500,8.5,8.5,6.8,6.8,6.8,6.8,13,102.44,0.07,3300,900,9657.55
NIFTY,20-Jun-2017,31-Aug-2017,CE,10500,6.2,8.45,6.2,8.45,8.45,8.45,2,15.76,0.01,3225,-75,9653.5
NIFTY,21-Jun-2017,31-Aug-2017,CE,10500,1.25,9,1.2,6.4,6.4,6.4,15,118.19,0.07,3375,150,9633.6
NIFTY,22-Jun-2017,31-Aug-2017,CE,10500,9.7,9.7,6,6,6,6,21,165.48,0.11,4350,975,9630
NIFTY,23-Jun-2017,31-Aug-2017,CE,10500,6.95,6.95,5.2,6.15,6.5,6.15,29,228.51,0.14,4875,525,9574.95
NIFTY,27-Jun-2017,31-Aug-2017,CE,10500,4.2,7.35,4.2,5.35,4.65,5.35,16,126.07,0.07,5550,675,9511.4
NIFTY,28-Jun-2017,31-Aug-2017,CE,10500,4.7,4.7,3.15,3.9,3.35,3.9,37,291.48,0.1,6000,450,9491.25
NIFTY,29-Jun-2017,31-Aug-2017,CE,10500,5,5,2.55,3.7,4.45,3.7,97,764.12,0.25,10350,4350,9504.1
