Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,26-May-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,54.15,0,0,0,0,0,9595.1
NIFTY,29-May-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,48.25,0,0,0,0,0,9604.9
NIFTY,30-May-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,46.45,0,0,0,0,0,9624.55
NIFTY,31-May-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,40.85,0,0,0,0,0,9621.25
NIFTY,01-Jun-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,35.55,0,0,0,0,0,9616.1
NIFTY,02-Jun-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,38,0,0,0,0,0,9653.5
NIFTY,05-Jun-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,35.4,0,0,0,0,0,9675.1
NIFTY,06-Jun-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,28.05,0,0,0,0,0,9637.15
NIFTY,07-Jun-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,28.3,0,0,0,0,0,9663.9
NIFTY,08-Jun-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,23.15,0,0,0,0,0,9647.25
NIFTY,09-Jun-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,22.55,0,0,0,0,0,9668.25
NIFTY,12-Jun-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,16.1,0,0,0,0,0,9616.4
NIFTY,13-Jun-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,13.05,0,0,0,0,0,9606.9
NIFTY,14-Jun-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,11.75,0,0,0,0,0,9618.15
NIFTY,15-Jun-2017,31-Aug-2017,CE,10400,0,0,0,38.15,0,8.65,0,0,0,0,0,9578.05
NIFTY,16-Jun-2017,31-Aug-2017,CE,10400,6.05,6.05,5.8,5.8,5.8,5.8,2,15.61,0.01,150,150,9617.8
NIFTY,19-Jun-2017,31-Aug-2017,CE,10400,6.05,6.05,6.05,6.05,6.05,6.05,2,15.61,0.01,300,150,9657.55
NIFTY,20-Jun-2017,31-Aug-2017,CE,10400,0,0,0,6.05,6.05,10.15,0,0,0,300,0,9653.5
NIFTY,21-Jun-2017,31-Aug-2017,CE,10400,8.25,8.25,6.1,7.1,7.1,7.1,222,1732.66,1.06,16350,16050,9633.6
NIFTY,22-Jun-2017,31-Aug-2017,CE,10400,7.1,7.1,5.3,5.4,5.55,5.4,15,117.07,0.07,17100,750,9630
NIFTY,23-Jun-2017,31-Aug-2017,CE,10400,5.2,5.3,5.05,5.15,5.1,5.15,8,62.43,0.03,17100,0,9574.95
NIFTY,27-Jun-2017,31-Aug-2017,CE,10400,4.55,4.55,3.5,3.8,3.8,3.8,27,210.68,0.08,16725,-375,9511.4
NIFTY,28-Jun-2017,31-Aug-2017,CE,10400,3.55,3.55,2.85,2.85,2.85,2.85,28,218.47,0.07,15750,-975,9491.25
NIFTY,29-Jun-2017,31-Aug-2017,CE,10400,2,5.9,2,4.45,4.45,4.45,39,304.27,0.07,15825,75,9504.1
NIFTY,30-Jun-2017,31-Aug-2017,CE,10400,1.9,3.45,1.5,2.6,2.6,2.6,68,530.49,0.09,15750,-75,9520.9
NIFTY,03-Jul-2017,31-Aug-2017,CE,10400,2,2.3,1.8,2.3,2.3,2.3,112,873.78,0.18,15750,0,9615
NIFTY,04-Jul-2017,31-Aug-2017,CE,10400,2.95,2.95,2.35,2.65,2.6,2.65,124,967.44,0.24,20325,4575,9613.3
NIFTY,05-Jul-2017,31-Aug-2017,CE,10400,2.5,2.6,1.9,2.15,2.15,2.15,48,374.48,0.08,17175,-3150,9637.6
NIFTY,06-Jul-2017,31-Aug-2017,CE,10400,2.85,3.45,2.8,3.05,3.05,3.05,194,1513.67,0.47,22500,5325,9674.55
NIFTY,07-Jul-2017,31-Aug-2017,CE,10400,3.05,3.05,2.8,2.8,2.8,2.8,45,351.1,0.1,24375,1875,9665.8
NIFTY,10-Jul-2017,31-Aug-2017,CE,10400,3.9,5.55,3.25,4.6,4.85,4.6,566,4416.55,1.75,43800,19425,9771.05
NIFTY,11-Jul-2017,31-Aug-2017,CE,10400,5.45,7.2,5.3,5.55,5.55,5.55,1334,10411.63,6.43,90900,47100,9786.05
NIFTY,12-Jul-2017,31-Aug-2017,CE,10400,6.3,7.4,5.95,6.9,7.4,6.9,856,6681.01,4.21,106275,15375,9816.1
NIFTY,13-Jul-2017,31-Aug-2017,CE,10400,7.5,15,7.5,11.35,12.35,11.35,1758,13725.66,13.26,116175,9900,9891.7
NIFTY,14-Jul-2017,31-Aug-2017,CE,10400,13.5,13.5,9.95,11.2,10.95,11.2,2686,20972.74,21.94,165075,48900,9886.35
NIFTY,17-Jul-2017,31-Aug-2017,CE,10400,9.25,16.35,9.25,15.5,15.65,15.5,4334,33849.95,44.75,223050,57975,9915.95
NIFTY,18-Jul-2017,31-Aug-2017,CE,10400,21.2,21.2,9.2,10.65,12.15,10.65,3371,26323.97,30.17,262650,39600,9827.15
NIFTY,19-Jul-2017,31-Aug-2017,CE,10400,11.05,13,9.4,12.55,13,12.55,3726,29093.94,31.14,270000,7350,9899.6
NIFTY,20-Jul-2017,31-Aug-2017,CE,10400,12.45,14,10,11.15,10.8,11.15,2273,17749.27,19.87,321150,51150,9873.3
NIFTY,21-Jul-2017,31-Aug-2017,CE,10400,11.9,12.05,7.65,10.35,10.85,10.35,3616,28231.2,26.4,351450,30300,9915.25
NIFTY,24-Jul-2017,31-Aug-2017,CE,10400,10.8,14.1,10.3,12.5,13.2,12.5,9265,72353.39,86.39,546075,194625,9966.4
NIFTY,25-Jul-2017,31-Aug-2017,CE,10400,15.9,15.9,11.5,13.45,13,13.45,7405,57832.62,73.62,594750,48675,9964.55
NIFTY,26-Jul-2017,31-Aug-2017,CE,10400,14,19.5,12.65,18.4,18.2,18.4,12556,98091.85,155.05,692850,98100,10020.65
NIFTY,27-Jul-2017,31-Aug-2017,CE,10400,19.1,32,15.8,17.7,18,17.7,67640,528841.37,1249.37,1538775,845925,10020.55
NIFTY,28-Jul-2017,31-Aug-2017,CE,10400,18,18,10.1,14.45,15.2,14.45,88729,692948.29,862.09,2603175,1064400,10014.5
NIFTY,31-Jul-2017,31-Aug-2017,CE,10400,15.1,21.9,12.35,20.75,21.45,20.75,45763,357563.19,611.79,2760075,156900,10077.1
NIFTY,01-Aug-2017,31-Aug-2017,CE,10400,21.5,27,21.5,25.35,26.65,25.35,64294,502671.74,1178.54,3028425,268350,10114.65
NIFTY,02-Aug-2017,31-Aug-2017,CE,10400,30,30,18.05,20,18.5,20,66005,515900.96,1061.96,3233925,205500,10081.5
NIFTY,03-Aug-2017,31-Aug-2017,CE,10400,19,19,9.45,11.4,11.6,11.4,74021,578078.82,715.02,3215625,-18300,10013.65
NIFTY,04-Aug-2017,31-Aug-2017,CE,10400,11.8,16.65,9.15,15.45,16,15.45,68761,536978.79,642.99,3054750,-160875,10066.4
NIFTY,07-Aug-2017,31-Aug-2017,CE,10400,14.75,16.75,12.2,13.7,13.4,13.7,30732,240040.75,331.15,3156225,101475,10057.4
NIFTY,08-Aug-2017,31-Aug-2017,CE,10400,14.25,14.25,6.5,8.25,8.35,8.25,110129,859727.19,720.99,3324225,168000,9978.55
NIFTY,09-Aug-2017,31-Aug-2017,CE,10400,7.1,7.5,5.25,5.65,5.4,5.65,53223,415385.74,246.34,3053700,-270525,9908.05
NIFTY,10-Aug-2017,31-Aug-2017,CE,10400,5.4,7.45,2.8,3.55,3.85,3.55,39548,308588.04,113.64,2946750,-106950,9820.25
NIFTY,11-Aug-2017,31-Aug-2017,CE,10400,3.4,3.55,2.35,3.25,3.15,3.25,34523,269358.71,79.31,2687100,-259650,9710.8
NIFTY,14-Aug-2017,31-Aug-2017,CE,10400,3.5,3.6,3.1,3.4,3.3,3.4,10755,83915.59,26.59,2625075,-62025,9794.15
NIFTY,16-Aug-2017,31-Aug-2017,CE,10400,3.3,4.15,2.75,4,3.95,4,12780,99715.55,31.55,2500275,-124800,9897.3
NIFTY,17-Aug-2017,31-Aug-2017,CE,10400,6,6,2.75,3.1,2.85,3.1,17943,139998.85,43.45,2721375,221100,9904.15
NIFTY,18-Aug-2017,31-Aug-2017,CE,10400,2.5,2.9,2.05,2.35,2.3,2.35,14634,114170.66,25.46,2465625,-255750,9837.4
NIFTY,21-Aug-2017,31-Aug-2017,CE,10400,2.65,3.05,1.55,1.75,1.65,1.75,9201,71780.56,12.76,2343375,-122250,9754.35
NIFTY,22-Aug-2017,31-Aug-2017,CE,10400,1.7,2.25,1.3,1.4,1.35,1.4,5867,45769.29,6.69,2287650,-55725,9765.55
NIFTY,23-Aug-2017,31-Aug-2017,CE,10400,1.35,1.4,0.9,1,0.95,1,5743,44800.02,4.62,2137725,-149925,9852.5
NIFTY,24-Aug-2017,31-Aug-2017,CE,10400,0.9,0.9,0.55,0.65,0.55,0.65,4452,34727.81,2.21,2033625,-104100,9857.05
NIFTY,28-Aug-2017,31-Aug-2017,CE,10400,0.7,0.8,0.4,0.65,0.55,0.65,15248,118942.07,7.67,1968525,-65100,9912.8
NIFTY,29-Aug-2017,31-Aug-2017,CE,10400,0.4,0.7,0.4,0.45,0.4,0.45,10467,81646.34,3.74,1934400,-34125,9796.05
