Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,26-May-2017,31-Aug-2017,CE,10100,27,29,27,27.25,27.25,27.25,3,22.79,0.06,75,75,9595.1
NIFTY,29-May-2017,31-Aug-2017,CE,10100,30,36.15,30,33.55,33.55,33.55,4,30.4,0.1,300,225,9604.9
NIFTY,30-May-2017,31-Aug-2017,CE,10100,37.75,43.3,37.15,43.3,43.3,43.3,14,106.47,0.42,1050,750,9624.55
NIFTY,31-May-2017,31-Aug-2017,CE,10100,43.4,43.4,42.35,42.8,42.35,42.8,6,45.64,0.19,1500,450,9621.25
NIFTY,01-Jun-2017,31-Aug-2017,CE,10100,44.25,44.25,44.25,44.25,44.25,44.25,2,15.22,0.07,1650,150,9616.1
NIFTY,02-Jun-2017,31-Aug-2017,CE,10100,48,48,41.85,41.95,42,41.95,5,38.04,0.16,2025,375,9653.5
NIFTY,05-Jun-2017,31-Aug-2017,CE,10100,45,52,45,49.15,49.5,49.15,27,205.52,0.99,3225,1200,9675.1
NIFTY,06-Jun-2017,31-Aug-2017,CE,10100,49.15,49.15,44.1,45,45,45,54,410.92,1.87,6750,3525,9637.15
NIFTY,07-Jun-2017,31-Aug-2017,CE,10100,45,50,44.4,47,48.8,47,11,83.71,0.39,6675,-75,9663.9
NIFTY,08-Jun-2017,31-Aug-2017,CE,10100,46,46.05,42.55,43.95,43.95,43.95,42,319.57,1.42,7725,1050,9647.25
NIFTY,09-Jun-2017,31-Aug-2017,CE,10100,36.35,50,34,47.5,50,47.5,50,380.21,1.46,7650,-75,9668.25
NIFTY,12-Jun-2017,31-Aug-2017,CE,10100,32.25,37.95,32.25,35.8,35.65,35.8,33,250.84,0.87,8400,750,9616.4
NIFTY,13-Jun-2017,31-Aug-2017,CE,10100,33.9,38,33,36.5,36.5,36.5,11,83.61,0.29,8850,450,9606.9
NIFTY,14-Jun-2017,31-Aug-2017,CE,10100,34.5,34.6,34.5,34.6,34.6,34.6,3,22.8,0.08,8850,0,9618.15
NIFTY,15-Jun-2017,31-Aug-2017,CE,10100,31.8,34.65,27.5,30.3,30.5,30.3,23,174.75,0.53,9375,525,9578.05
NIFTY,16-Jun-2017,31-Aug-2017,CE,10100,30,30,25.05,27,27,27,30,227.85,0.6,10800,1425,9617.8
NIFTY,19-Jun-2017,31-Aug-2017,CE,10100,27,36.55,23.5,32.4,33.5,32.4,257,1952.91,6.13,23475,12675,9657.55
NIFTY,20-Jun-2017,31-Aug-2017,CE,10100,34.15,36.6,31.25,33.5,32.7,33.5,701,5328.33,18.26,68625,45150,9653.5
NIFTY,21-Jun-2017,31-Aug-2017,CE,10100,30,30.05,26.2,29.35,30.05,29.35,156,1184.95,3.25,76500,7875,9633.6
NIFTY,22-Jun-2017,31-Aug-2017,CE,10100,31.9,38,23.85,27,27.05,27,422,3205.97,9.32,101100,24600,9630
NIFTY,23-Jun-2017,31-Aug-2017,CE,10100,26.25,27,21.05,22.05,21.6,22.05,176,1336.35,3.15,103950,2850,9574.95
NIFTY,27-Jun-2017,31-Aug-2017,CE,10100,23.05,23.05,11.05,14.6,14.7,14.6,800,6068.75,8.75,78150,-25800,9511.4
NIFTY,28-Jun-2017,31-Aug-2017,CE,10100,14.15,14.15,10.1,12.45,13.25,12.45,285,2161.63,2.75,79575,1425,9491.25
NIFTY,29-Jun-2017,31-Aug-2017,CE,10100,12.7,16,10.25,10.8,11.65,10.8,278,2108.57,2.72,80625,1050,9504.1
NIFTY,30-Jun-2017,31-Aug-2017,CE,10100,9.9,11.55,7.65,11.1,10.55,11.1,977,7407.3,6.53,83025,2400,9520.9
NIFTY,03-Jul-2017,31-Aug-2017,CE,10100,12.35,16.85,10.3,15.7,16.25,15.7,1785,13540.08,18.71,118650,35625,9615
NIFTY,04-Jul-2017,31-Aug-2017,CE,10100,16.35,18,2.65,16.65,15.75,16.65,1871,14195.79,22.97,125250,6600,9613.3
NIFTY,05-Jul-2017,31-Aug-2017,CE,10100,15.8,18.5,15.45,17.55,17.75,17.55,1190,9029.26,15.01,132675,7425,9637.6
NIFTY,06-Jul-2017,31-Aug-2017,CE,10100,17.8,22.55,16.9,20.2,18.25,20.2,2831,21488.48,43.65,165675,33000,9674.55
NIFTY,07-Jul-2017,31-Aug-2017,CE,10100,17.6,19.9,16.2,18,17.4,18,1936,14691.1,25.9,168600,2925,9665.8
NIFTY,10-Jul-2017,31-Aug-2017,CE,10100,20,34.95,19.8,33.1,32.7,33.1,4596,34916.97,102.27,297825,129225,9771.05
NIFTY,11-Jul-2017,31-Aug-2017,CE,10100,34.95,43.5,32,33.95,34.55,33.95,9135,69462.98,265.36,455925,158100,9786.05
NIFTY,12-Jul-2017,31-Aug-2017,CE,10100,37,45.7,35.8,43.15,45.7,43.15,5116,38907.39,153.69,431175,-24750,9816.1
NIFTY,13-Jul-2017,31-Aug-2017,CE,10100,56.75,63.1,53.55,61.3,62.05,61.3,9802,74672.82,422.67,543450,112275,9891.7
NIFTY,14-Jul-2017,31-Aug-2017,CE,10100,65.7,65.8,52,63.45,64,63.45,12836,97779.46,546.76,986625,443175,9886.35
NIFTY,17-Jul-2017,31-Aug-2017,CE,10100,70,81.2,64.1,78.15,77,78.15,9684,73885.8,529.5,1088175,101550,9915.95
NIFTY,18-Jul-2017,31-Aug-2017,CE,10100,60.45,70,48.05,52.05,54.9,52.05,11255,85754.42,497.8,1159875,71700,9827.15
